DATA DE FECHAMENTO;MÊS;ANO;VALOR
25/07/2020 00:00;7;20;8092
25/07/2020 00:00;7;20;8092
27/07/2020 00:00;7;20;8112
27/07/2020 00:00;7;20;8212
27/07/2020 00:00;7;20;8302
28/07/2020 00:00;7;20;8302
28/07/2020 00:00;7;20;9012
29/07/2020 00:00;7;20;9012
29/07/2020 00:00;7;20;9112
29/07/2020 00:00;6;20;7320
29/07/2020 00:00;7;20;9162
29/07/2020 00:00;7;20;9322
29/07/2020 00:00;7;20;9322
30/07/2020 00:00;7;20;9322
30/07/2020 00:00;7;20;9902
30/07/2020 00:00;7;20;10032
30/07/2020 00:00;7;20;10032
30/07/2020 00:00;7;20;10032
31/07/2020 00:00;7;20;10032
31/07/2020 00:00;7;20;10044
31/07/2020 00:00;7;20;10314
31/07/2020 00:00;7;20;10314
31/07/2020 00:00;7;20;10314
31/07/2020 00:00;7;20;10314
31/07/2020 00:00;7;20;10314
31/07/2020 00:00;7;20;10354
01/08/2020 00:00;7;20;10354
01/08/2020 00:00;7;20;10354
03/08/2020 00:00;8;20;1050
04/08/2020 00:00;8;20;1970
04/08/2020 00:00;8;20;1970
04/08/2020 00:00;8;20;1970
04/08/2020 00:00;8;20;2050
04/08/2020 00:00;8;20;2050
04/08/2020 00:00;8;20;2070
05/08/2020 00:00;8;20;2110
05/08/2020 00:00;8;20;2170
05/08/2020 00:00;8;20;2360
05/08/2020 00:00;8;20;2400
05/08/2020 00:00;7;20;10354
05/08/2020 00:00;8;20;2420
06/08/2020 00:00;8;20;2680
06/08/2020 00:00;8;20;2960
07/08/2020 00:00;8;20;3540
07/08/2020 00:00;8;20;3560
07/08/2020 00:00;8;20;3560
07/08/2020 00:00;8;20;3560
08/08/2020 00:00;8;20;3970
08/08/2020 00:00;8;20;4010
08/08/2020 00:00;8;20;4010
08/08/2020 00:00;8;20;4450
10/08/2020 00:00;8;20;4450
10/08/2020 00:00;8;20;4860
10/08/2020 00:00;8;20;5040
10/08/2020 00:00;8;20;5040
10/08/2020 00:00;8;20;5180
10/08/2020 00:00;8;20;5180
10/08/2020 00:00;8;20;5180
10/08/2020 00:00;8;20;5180
10/08/2020 00:00;8;20;5180
10/08/2020 00:00;8;20;5180
11/08/2020 00:00;8;20;5180
11/08/2020 00:00;8;20;5180
11/08/2020 00:00;8;20;5180
11/08/2020 00:00;7;20;10354
11/08/2020 00:00;8;20;5260
12/08/2020 00:00;8;20;5352
12/08/2020 00:00;8;20;5452
13/08/2020 00:00;8;20;5532
13/08/2020 00:00;8;20;5552
13/08/2020 00:00;8;20;5552
13/08/2020 00:00;8;20;5742
14/08/2020 00:00;8;20;5742
14/08/2020 00:00;8;20;5852
14/08/2020 00:00;8;20;5952
14/08/2020 00:00;8;20;6072
15/08/2020 00:00;8;20;7112
17/08/2020 00:00;8;20;7702
18/08/2020 00:00;15;20;0
18/08/2020 00:00;16;20;0
18/08/2020 00:00;16;20;0
18/08/2020 00:00;14;20;0
18/08/2020 00:00;8;20;7772
18/08/2020 00:00;8;20;8102
18/08/2020 00:00;8;20;8102
19/08/2020 00:00;8;20;8102
19/08/2020 00:00;8;20;8404
19/08/2020 00:00;7;20;10354
19/08/2020 00:00;8;20;8524
19/08/2020 00:00;8;20;8524
19/08/2020 00:00;8;20;8524
20/08/2020 00:00;8;20;8524
20/08/2020 00:00;8;20;8844
21/08/2020 00:00;8;20;8844
21/08/2020 00:00;8;20;9334
24/08/2020 00:00;8;20;11070
25/08/2020 00:00;8;20;11110
25/08/2020 00:00;8;20;11320
25/08/2020 00:00;8;20;11480
26/08/2020 00:00;8;20;11610
26/08/2020 00:00;8;20;11790
27/08/2020 00:00;8;20;11860
27/08/2020 00:00;8;20;12150
27/08/2020 00:00;8;20;12190
27/08/2020 00:00;8;20;12190
27/08/2020 00:00;8;20;12250
27/08/2020 00:00;8;20;12250
28/08/2020 00:00;8;20;12250
28/08/2020 00:00;8;20;12320
28/08/2020 00:00;8;20;12320
28/08/2020 00:00;8;20;12480
29/08/2020 00:00;8;20;12500
29/08/2020 00:00;8;20;12750
29/08/2020 00:00;8;20;12870
29/08/2020 00:00;8;20;12930
29/08/2020 00:00;8;20;12990
29/08/2020 00:00;8;20;13050
31/08/2020 00:00;8;20;13050
31/08/2020 00:00;8;20;13230
31/08/2020 00:00;8;20;13230
31/08/2020 00:00;8;20;13230
31/08/2020 00:00;8;20;13330
31/08/2020 00:00;8;20;13330
01/09/2020 00:00;8;20;13330
01/09/2020 00:00;9;20;330
01/09/2020 00:00;9;20;380
02/09/2020 00:00;9;20;580
02/09/2020 00:00;9;20;620
02/09/2020 00:00;9;20;730
02/09/2020 00:00;9;20;730
03/09/2020 00:00;9;20;870
03/09/2020 00:00;9;20;960
04/09/2020 00:00;9;20;1500
04/09/2020 00:00;9;20;1520
05/09/2020 00:00;9;20;1820
05/09/2020 00:00;9;20;1850
05/09/2020 00:00;9;20;1870
08/09/2020 00:00;9;20;1950
08/09/2020 00:00;9;20;2082
08/09/2020 00:00;9;20;2462
09/09/2020 00:00;9;20;2622
10/09/2020 00:00;9;20;3252
10/09/2020 00:00;9;20;3472
10/09/2020 00:00;9;20;3472
10/09/2020 00:00;9;20;3492
10/09/2020 00:00;9;20;0
11/09/2020 00:00;9;20;3832
11/09/2020 00:00;9;20;4522
11/09/2020 00:00;9;20;4792
12/09/2020 00:00;9;20;4912
12/09/2020 00:00;9;20;5077
14/09/2020 00:00;8;20;13330
14/09/2020 00:00;9;20;5347
15/09/2020 00:00;9;20;5559
15/09/2020 00:00;9;20;5709
15/09/2020 00:00;9;20;5769
15/09/2020 00:00;8;20;13330
16/09/2020 00:00;9;20;5829
16/09/2020 00:00;9;20;5829
16/09/2020 00:00;9;20;5979
17/09/2020 00:00;9;20;5979
17/09/2020 00:00;9;20;6429
17/09/2020 00:00;9;20;6449
18/09/2020 00:00;9;20;7279
21/09/2020 00:00;9;20;8389
21/09/2020 00:00;9;20;8599
21/09/2020 00:00;9;20;8639
21/09/2020 00:00;9;20;8639
21/09/2020 00:00;9;20;8809
21/09/2020 00:00;9;20;8949
21/09/2020 00:00;9;20;9039
22/09/2020 00:00;9;20;9369
22/09/2020 00:00;9;20;9369
23/09/2020 00:00;9;20;9509
23/09/2020 00:00;9;20;9649
23/09/2020 00:00;9;20;9649
23/09/2020 00:00;9;20;10059
24/09/2020 00:00;9;20;10499
24/09/2020 00:00;9;20;10539
25/09/2020 00:00;9;20;10939
25/09/2020 00:00;9;20;10939
25/09/2020 00:00;9;20;10939
25/09/2020 00:00;9;20;10959
25/09/2020 00:00;9;20;10959
25/09/2020 00:00;9;20;10959
25/09/2020 00:00;9;20;10959
25/09/2020 00:00;9;20;10959
26/09/2020 00:00;9;20;11239
26/09/2020 00:00;9;20;11239
26/09/2020 00:00;9;20;11359
28/09/2020 00:00;9;20;11359
28/09/2020 00:00;9;20;11629
28/09/2020 00:00;9;20;11779
28/09/2020 00:00;9;20;11829
28/09/2020 00:00;9;20;11829
28/09/2020 00:00;9;20;11829
29/09/2020 00:00;9;20;12059
29/09/2020 00:00;9;20;12249
29/09/2020 00:00;9;20;12339
30/09/2020 00:00;9;20;12579
30/09/2020 00:00;9;20;12579
30/09/2020 00:00;2;20;0
30/09/2020 00:00;3;20;0
30/09/2020 00:00;4;20;5605
30/09/2020 00:00;5;20;7365
30/09/2020 00:00;6;20;7320
